function,M>=L,M>L,M<L,M>=H,M>H,M<H,H>=L,H>L,H<L,mavg,lavg,havg
acos,1.000000,0.999000,0.000000,1.000000,0.002000,0.000000,1.000000,0.999000,0.000000,9.7265288241297560838e-20,4.1047869179248572421e-17,9.7265288917169234126e-20
acosh,0.869131,0.868132,0.130869,1.000000,0.990010,0.000000,0.005994,0.004995,0.994006,1.0328993976259380932e-17,4.3584854116765068748e-17,5.5121728983174789124e4
asin,0.996000,0.994000,0.004000,0.999000,0.000000,0.001000,0.996000,0.994000,0.004000,2.0897883441489890511e-19,3.9899357888641876042e-17,2.0897881453672660656e-19
asinh,0.837000,0.836000,0.163000,1.000000,0.959000,0.000000,0.019000,0.018000,0.981000,1.3004179117096139757e-17,4.3561081966897647327e-17,7.5351378853450574907e3
atan2,0.977222,0.977222,0.022778,1.000000,0.000000,0.000000,0.977222,0.977222,0.022778,1.3946932612155887255e-18,4.0843477680905133841e-17,1.3946932612155887255e-18
atan,0.995000,0.994000,0.005000,1.000000,0.000000,0.000000,0.995000,0.994000,0.005000,4.0231368782519675491e-19,3.5873420312235418569e-17,4.0231368782519675491e-19
atanh,0.697000,0.695000,0.303000,1.000000,0.000000,0.000000,0.697000,0.695000,0.303000,3.3260157802867796555e-17,4.8855715620891550307e-17,3.3260157802867796555e-17
cos,1.000000,1.000000,0.000000,1.000000,0.919650,0.000000,0.080350,0.080350,0.919650,2.3144722727738148767e-21,3.7272515974646576020e-17,2.5843416223708310051e-3
cosh,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,4.2900830035646681839e-22,4.4157409357371466647e-17,9.5417103112060048276e-7
exp10,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,8.4842058941145697175e-23,6.9778664455704989609e-17,1.2629731847996754431e-6
exp2,1.000000,0.999000,0.000000,1.000000,0.999000,0.000000,0.001000,0.000000,0.999000,6.0299684864747129710e-20,4.1162512940109307541e-17,3.2491275285765848277e-4
exp,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.9083025380777992760e-25,4.1266359515209642122e-17,9.5401558301088983885e-7
log10,0.889000,0.889000,0.111000,1.000000,0.000000,0.000000,0.889000,0.889000,0.111000,8.1171751534344722273e-18,4.2656766788440204685e-17,8.1171751534344722273e-18
log1p,0.862000,0.862000,0.138000,1.000000,0.000000,0.000000,0.862000,0.862000,0.138000,1.2697191249408486084e-17,4.2729273024444266466e-17,1.2697191249408486084e-17
log2,0.949000,0.949000,0.051000,1.000000,0.000000,0.000000,0.949000,0.949000,0.051000,6.3509868214018998962e-18,4.3645855345781118059e-17,6.3509868214018998962e-18
log,0.999800,0.999800,0.000200,1.000000,0.896979,0.000000,0.102821,0.102821,0.897179,8.6194524739538206993e-21,4.0822003431889158027e-17,1.0915930698565999283e1
pow,0.048186,0.000000,0.951814,0.986318,0.938132,0.013682,0.048186,0.000000,0.951814,1.6663243853649520680e-8,3.7538848236345326273e-17,8.8443526597092770935e-7
sin,1.000000,1.000000,0.000000,1.000000,0.920446,0.000000,0.079554,0.079554,0.920446,7.7354107061757016840e-21,3.5656060854222209068e-17,4.2732768705599449172e-2
sinh,0.836000,0.835000,0.164000,1.000000,0.560000,0.000000,0.276000,0.275000,0.724000,1.7671864524426149364e-17,4.6532485924967447969e-17,5.3315896319216739612e-7
tan,0.688146,0.688146,0.311854,1.000000,0.749403,0.000000,0.182180,0.182180,0.817820,1.7135199562894831505e-17,3.8932373600331067251e-17,1.4335182228365875165e13
tanh,0.995005,0.213786,0.004995,1.000000,0.000000,0.000000,0.995005,0.213786,0.004995,1.6890247157723460201e-19,5.9692407501578054171e-18,1.6890247157723460201e-19
